ts,voltage,current,power,readable_time
1762706758,246.6,0.247,29.6,2025-11-09 10:45:58 PM
1762706777,246.6,0.247,29.6,2025-11-09 10:46:17 PM
1762706797,246.6,0.247,29.6,2025-11-09 10:46:37 PM
1762706816,246.6,0.247,29.6,2025-11-09 10:46:56 PM
1762706834,246.6,0.247,29.6,2025-11-09 10:47:14 PM
1762706852,246.6,0.247,29.6,2025-11-09 10:47:32 PM
1762706902,247.6,0.0,0.0,2025-11-09 10:48:22 PM
1762706923,247.6,0.0,0.0,2025-11-09 10:48:43 PM
1762706946,247.1,0.26,32.9,2025-11-09 10:49:06 PM
1762706968,247.1,0.26,32.9,2025-11-09 10:49:28 PM
1762706993,247.1,0.26,32.9,2025-11-09 10:49:53 PM
1762707013,247.1,0.26,32.9,2025-11-09 10:50:13 PM
1762707032,247.1,0.26,32.9,2025-11-09 10:50:32 PM
1762707049,247.1,0.26,32.9,2025-11-09 10:50:49 PM
1762707068,247.1,0.26,32.9,2025-11-09 10:51:08 PM
1762707086,247.1,0.26,32.9,2025-11-09 10:51:26 PM
1762707109,247.1,0.26,32.9,2025-11-09 10:51:49 PM
1762707152,247.1,0.0,0.0,2025-11-09 10:52:32 PM
1762707171,247.1,0.0,0.0,2025-11-09 10:52:51 PM
1762707196,247.1,0.271,34.8,2025-11-09 10:53:16 PM
1762707215,247.1,0.271,34.8,2025-11-09 10:53:35 PM
1762707236,247.1,0.271,34.8,2025-11-09 10:53:56 PM
1762707256,247.1,0.271,34.8,2025-11-09 10:54:16 PM
1762707280,247.1,0.271,34.8,2025-11-09 10:54:40 PM
1762707382,245.6,0.18,21.6,2025-11-09 10:56:22 PM
1762707402,245.6,0.18,21.6,2025-11-09 10:56:42 PM
1762707422,245.6,0.18,21.6,2025-11-09 10:57:02 PM
1762707443,245.6,0.18,21.6,2025-11-09 10:57:23 PM
1762707465,246.6,0.235,30.8,2025-11-09 10:57:45 PM
1762707483,246.6,0.235,30.8,2025-11-09 10:58:03 PM
1762707524,246.6,0.0,0.0,2025-11-09 10:58:44 PM
1762707543,246.6,0.245,28.6,2025-11-09 10:59:03 PM
1762707562,246.6,0.245,28.6,2025-11-09 10:59:22 PM
1762707583,247.1,0.254,33.0,2025-11-09 10:59:43 PM
1762707607,247.1,0.254,33.0,2025-11-09 11:00:07 PM
1762707631,247.1,0.182,20.8,2025-11-09 11:00:31 PM
1762707652,247.1,0.237,28.6,2025-11-09 11:00:52 PM
1762707671,247.1,0.237,28.6,2025-11-09 11:01:11 PM
1762707694,247.1,0.237,28.6,2025-11-09 11:01:34 PM
1762707746,247.1,0.237,28.6,2025-11-09 11:02:26 PM
1762707765,247.1,0.237,28.6,2025-11-09 11:02:45 PM
1762707783,247.1,0.237,28.6,2025-11-09 11:03:03 PM
1762707804,247.1,0.237,28.6,2025-11-09 11:03:24 PM
1762707823,247.1,0.237,28.6,2025-11-09 11:03:43 PM
1762707844,247.1,0.237,28.6,2025-11-09 11:04:04 PM
1762707862,247.1,0.237,28.6,2025-11-09 11:04:22 PM
1762707882,247.1,0.237,28.6,2025-11-09 11:04:42 PM
1762707906,247.1,0.237,28.6,2025-11-09 11:05:06 PM
1762707925,247.1,0.237,28.6,2025-11-09 11:05:25 PM
1762707942,247.1,0.237,28.6,2025-11-09 11:05:42 PM
1762707961,247.1,0.237,28.6,2025-11-09 11:06:01 PM
1762708148,245.6,0.254,30.3,2025-11-09 11:09:08 PM
1762708167,245.6,0.254,30.3,2025-11-09 11:09:27 PM
1762708184,245.6,0.254,30.3,2025-11-09 11:09:44 PM
1762708202,245.6,0.254,30.3,2025-11-09 11:10:02 PM
1762708225,245.6,0.0,0.0,2025-11-09 11:10:25 PM
1762708245,245.6,0.0,0.0,2025-11-09 11:10:45 PM
1762708289,246.1,0.0,0.0,2025-11-09 11:11:29 PM
1762708308,245.6,0.252,31.4,2025-11-09 11:11:48 PM
1762708325,245.6,0.252,31.4,2025-11-09 11:12:05 PM
1762708344,245.6,0.252,31.4,2025-11-09 11:12:24 PM
1762708361,245.6,0.252,31.4,2025-11-09 11:12:41 PM
1762708383,245.6,0.252,31.4,2025-11-09 11:13:03 PM
1762708401,245.6,0.252,31.4,2025-11-09 11:13:21 PM
1762708424,245.6,0.252,31.4,2025-11-09 11:13:44 PM
1762708442,245.1,0.255,31.7,2025-11-09 11:14:02 PM
1762708460,245.1,0.255,31.7,2025-11-09 11:14:20 PM
1762708479,245.1,0.255,31.7,2025-11-09 11:14:39 PM
1762708497,245.1,0.255,31.7,2025-11-09 11:14:57 PM
1762708516,245.1,0.255,31.7,2025-11-09 11:15:16 PM
1762708534,245.1,0.255,31.7,2025-11-09 11:15:34 PM
1762708552,245.1,0.255,31.7,2025-11-09 11:15:52 PM
1762708576,244.6,0.269,34.8,2025-11-09 11:16:16 PM
1762708596,244.6,0.269,34.8,2025-11-09 11:16:36 PM
1762708613,244.6,0.269,34.8,2025-11-09 11:16:53 PM
1762708637,244.6,0.269,34.8,2025-11-09 11:17:17 PM
1762708655,244.6,0.269,34.8,2025-11-09 11:17:35 PM
1762708682,244.6,0.269,34.8,2025-11-09 11:18:02 PM
1762708698,246.6,0.22,25.0,2025-11-09 11:18:18 PM
1762708735,246.6,0.0,0.0,2025-11-09 11:18:55 PM
1762708754,246.6,0.0,0.0,2025-11-09 11:19:14 PM
1762708775,246.6,0.189,26.3,2025-11-09 11:19:35 PM
1762708794,246.6,0.189,26.3,2025-11-09 11:19:54 PM
1762708811,246.6,0.189,26.3,2025-11-09 11:20:11 PM
1762708830,246.6,0.189,26.3,2025-11-09 11:20:30 PM
1762708848,246.6,0.189,26.3,2025-11-09 11:20:48 PM
1762708865,246.6,0.189,26.3,2025-11-09 11:21:05 PM
1762708882,246.6,0.189,26.3,2025-11-09 11:21:22 PM
1762708900,246.6,0.189,26.3,2025-11-09 11:21:40 PM
1762708916,246.6,0.189,26.3,2025-11-09 11:21:56 PM
1762708936,246.6,0.189,26.3,2025-11-09 11:22:16 PM
1762708953,246.1,0.208,23.6,2025-11-09 11:22:33 PM
1762708970,246.1,0.208,23.6,2025-11-09 11:22:50 PM
1762708989,246.1,0.208,23.6,2025-11-09 11:23:09 PM
1762709010,246.1,0.208,23.6,2025-11-09 11:23:30 PM
1762709031,246.1,0.208,23.6,2025-11-09 11:23:51 PM
1762709051,246.1,0.208,23.6,2025-11-09 11:24:11 PM
1762709069,246.1,0.208,23.6,2025-11-09 11:24:29 PM
1762709087,246.1,0.208,23.6,2025-11-09 11:24:47 PM
1762709115,246.1,0.208,23.6,2025-11-09 11:25:15 PM
1762709135,246.1,0.269,32.1,2025-11-09 11:25:35 PM
1762709152,246.1,0.269,32.1,2025-11-09 11:25:52 PM
1762709170,246.1,0.269,32.1,2025-11-09 11:26:10 PM
1762709206,245.6,0.0,0.0,2025-11-09 11:26:46 PM
1762709224,245.6,0.0,0.0,2025-11-09 11:27:04 PM
1762709240,245.6,0.259,28.6,2025-11-09 11:27:20 PM
1762709258,245.6,0.259,28.6,2025-11-09 11:27:38 PM
1762709276,245.6,0.236,33.2,2025-11-09 11:27:56 PM
1762709294,245.6,0.236,33.2,2025-11-09 11:28:14 PM
1762709312,245.6,0.236,33.2,2025-11-09 11:28:32 PM
1762709330,245.6,0.236,33.2,2025-11-09 11:28:50 PM
1762709346,245.6,0.236,33.2,2025-11-09 11:29:06 PM
1762709363,245.6,0.236,33.2,2025-11-09 11:29:23 PM
1762709380,245.6,0.236,33.2,2025-11-09 11:29:40 PM
1762709399,245.6,0.236,33.2,2025-11-09 11:29:59 PM
1762709417,245.6,0.236,33.2,2025-11-09 11:30:17 PM
1762709436,245.6,0.236,33.2,2025-11-09 11:30:36 PM
1762709454,245.6,0.236,33.2,2025-11-09 11:30:54 PM
1762709473,245.6,0.236,33.2,2025-11-09 11:31:13 PM
1762709490,245.6,0.236,33.2,2025-11-09 11:31:30 PM
1762709509,245.6,0.236,33.2,2025-11-09 11:31:49 PM
1762709530,245.6,0.236,33.2,2025-11-09 11:32:10 PM
1762709547,245.6,0.236,33.2,2025-11-09 11:32:27 PM
1762709565,245.6,0.236,33.2,2025-11-09 11:32:45 PM
1762709583,245.6,0.236,33.2,2025-11-09 11:33:03 PM
1762709602,245.6,0.236,33.2,2025-11-09 11:33:22 PM
1762709618,246.1,0.26,32.5,2025-11-09 11:33:38 PM
1762709635,246.1,0.26,32.5,2025-11-09 11:33:55 PM
1762709654,246.1,0.26,32.5,2025-11-09 11:34:14 PM
1762709671,246.1,0.26,32.5,2025-11-09 11:34:31 PM
1762709688,246.1,0.26,32.5,2025-11-09 11:34:48 PM
1762709706,246.1,0.26,32.5,2025-11-09 11:35:06 PM
1762709722,246.1,0.26,32.5,2025-11-09 11:35:22 PM
1762709741,246.1,0.26,32.5,2025-11-09 11:35:41 PM
1762709759,246.1,0.26,32.5,2025-11-09 11:35:59 PM
1762709776,246.1,0.26,32.5,2025-11-09 11:36:16 PM
1762709794,245.6,0.181,20.1,2025-11-09 11:36:34 PM
1762709810,245.6,0.181,20.1,2025-11-09 11:36:50 PM
1762709831,245.6,0.181,20.1,2025-11-09 11:37:11 PM
1762709849,245.6,0.181,20.1,2025-11-09 11:37:29 PM
1762709866,246.1,0.245,32.3,2025-11-09 11:37:46 PM
1762709884,246.1,0.245,32.3,2025-11-09 11:38:04 PM
1762709901,246.1,0.245,32.3,2025-11-09 11:38:21 PM
1762709918,246.1,0.245,32.3,2025-11-09 11:38:38 PM
1762709936,246.1,0.191,23.2,2025-11-09 11:38:56 PM
1762709953,246.1,0.191,23.2,2025-11-09 11:39:13 PM
1762709970,246.1,0.191,23.2,2025-11-09 11:39:30 PM
1762709988,246.1,0.191,23.2,2025-11-09 11:39:48 PM
1762710005,246.1,0.191,23.2,2025-11-09 11:40:05 PM
1762710022,246.1,0.191,23.2,2025-11-09 11:40:22 PM
1762710041,246.1,0.191,23.2,2025-11-09 11:40:41 PM
1762710058,246.1,0.191,23.2,2025-11-09 11:40:58 PM
1762710076,245.6,0.249,31.6,2025-11-09 11:41:16 PM
1762710096,245.6,0.249,31.6,2025-11-09 11:41:36 PM
1762710112,245.6,0.249,31.6,2025-11-09 11:41:52 PM
1762710129,245.6,0.249,31.6,2025-11-09 11:42:09 PM
1762710147,245.6,0.249,31.6,2025-11-09 11:42:27 PM
1762710166,245.6,0.249,31.6,2025-11-09 11:42:46 PM
1762710185,245.6,0.249,31.6,2025-11-09 11:43:05 PM
1762710202,245.6,0.249,31.6,2025-11-09 11:43:22 PM
1762710218,245.6,0.249,31.6,2025-11-09 11:43:38 PM
1762710235,245.6,0.249,31.6,2025-11-09 11:43:55 PM
1762710255,245.6,0.249,31.6,2025-11-09 11:44:15 PM
1762710273,245.6,0.249,31.6,2025-11-09 11:44:33 PM
1762710292,246.6,0.277,33.6,2025-11-09 11:44:52 PM
1762710309,246.6,0.277,33.6,2025-11-09 11:45:09 PM
1762710327,246.1,0.222,26.3,2025-11-09 11:45:27 PM
1762710344,246.1,0.222,26.3,2025-11-09 11:45:44 PM
1762710362,246.1,0.222,26.3,2025-11-09 11:46:02 PM
1762710380,246.1,0.222,26.3,2025-11-09 11:46:20 PM
1762710397,246.1,0.222,26.3,2025-11-09 11:46:37 PM
1762710455,246.1,0.257,31.6,2025-11-09 11:47:35 PM
1762710472,246.1,0.257,31.6,2025-11-09 11:47:52 PM
1762710490,246.6,0.19,25.5,2025-11-09 11:48:10 PM
1762710508,246.6,0.19,25.5,2025-11-09 11:48:28 PM
1762710526,246.6,0.19,25.5,2025-11-09 11:48:46 PM
1762710543,246.6,0.19,25.5,2025-11-09 11:49:03 PM
1762710561,246.6,0.19,25.5,2025-11-09 11:49:21 PM
1762710578,246.6,0.19,25.5,2025-11-09 11:49:38 PM
1762710595,246.1,0.0,0.0,2025-11-09 11:49:55 PM
1762710619,246.1,0.0,0.0,2025-11-09 11:50:19 PM
1762710636,246.1,0.185,23.3,2025-11-09 11:50:36 PM
1762710653,246.1,0.185,23.3,2025-11-09 11:50:53 PM
1762710670,246.1,0.185,23.3,2025-11-09 11:51:10 PM
1762710687,246.1,0.185,23.3,2025-11-09 11:51:27 PM
1762710704,246.1,0.185,23.3,2025-11-09 11:51:44 PM
1762710722,246.1,0.185,23.3,2025-11-09 11:52:02 PM
1762710739,246.1,0.185,23.3,2025-11-09 11:52:19 PM
1762710756,246.1,0.185,23.3,2025-11-09 11:52:36 PM
1762710776,246.1,0.185,23.3,2025-11-09 11:52:56 PM
1762710793,246.1,0.185,23.3,2025-11-09 11:53:13 PM
1762710837,246.1,0.185,23.3,2025-11-09 11:53:57 PM
1762710854,246.1,0.185,23.3,2025-11-09 11:54:14 PM
1762710871,246.1,0.185,23.3,2025-11-09 11:54:31 PM
1762710888,246.1,0.185,23.3,2025-11-09 11:54:48 PM
1762710905,246.1,0.185,23.3,2025-11-09 11:55:05 PM
1762710922,246.1,0.185,23.3,2025-11-09 11:55:22 PM
1762710939,246.1,0.185,23.3,2025-11-09 11:55:39 PM
1762710958,246.1,0.185,23.3,2025-11-09 11:55:58 PM
1762710976,246.1,0.185,23.3,2025-11-09 11:56:16 PM
1762710992,246.1,0.185,23.3,2025-11-09 11:56:32 PM
1762711013,246.1,0.185,23.3,2025-11-09 11:56:53 PM
1762711029,246.1,0.185,23.3,2025-11-09 11:57:09 PM
1762711048,246.1,0.185,23.3,2025-11-09 11:57:28 PM
1762711066,246.1,0.185,23.3,2025-11-09 11:57:46 PM
1762711083,246.1,0.185,23.3,2025-11-09 11:58:03 PM
1762711102,246.1,0.185,23.3,2025-11-09 11:58:22 PM
1762711120,246.1,0.185,23.3,2025-11-09 11:58:40 PM
1762711137,246.1,0.185,23.3,2025-11-09 11:58:57 PM
1762711157,246.1,0.185,23.3,2025-11-09 11:59:17 PM
1762711175,246.1,0.185,23.3,2025-11-09 11:59:35 PM
1762711194,246.1,0.185,23.3,2025-11-09 11:59:54 PM
1762711213,246.1,0.185,23.3,2025-11-10 12:00:13 AM
1762711231,246.1,0.185,23.3,2025-11-10 12:00:31 AM
1762711248,246.1,0.185,23.3,2025-11-10 12:00:48 AM
1762711265,246.1,0.185,23.3,2025-11-10 12:01:05 AM
1762711282,246.1,0.185,23.3,2025-11-10 12:01:22 AM
1762711299,247.6,0.255,31.5,2025-11-10 12:01:39 AM
1762711324,247.6,0.255,31.5,2025-11-10 12:02:04 AM
1762711342,247.6,0.255,31.5,2025-11-10 12:02:22 AM
1762711359,247.6,0.255,31.5,2025-11-10 12:02:39 AM
1762711377,247.6,0.27,30.6,2025-11-10 12:02:57 AM
1762711395,247.6,0.27,30.6,2025-11-10 12:03:15 AM
1762711413,247.6,0.21,24.6,2025-11-10 12:03:33 AM
1762711430,247.6,0.21,24.6,2025-11-10 12:03:50 AM
1762711449,247.6,0.174,20.3,2025-11-10 12:04:09 AM
1762711465,247.6,0.174,20.3,2025-11-10 12:04:25 AM
1762711482,247.6,0.218,29.3,2025-11-10 12:04:42 AM
1762711499,247.6,0.218,29.3,2025-11-10 12:04:59 AM
1762711518,247.6,0.218,29.3,2025-11-10 12:05:18 AM
1762711536,247.6,0.218,29.3,2025-11-10 12:05:36 AM
1762711559,247.6,0.218,29.3,2025-11-10 12:05:59 AM
1762711577,247.6,0.218,29.3,2025-11-10 12:06:17 AM
1762711594,247.6,0.218,29.3,2025-11-10 12:06:34 AM
1762711611,247.6,0.218,29.3,2025-11-10 12:06:51 AM
1762711628,247.6,0.218,29.3,2025-11-10 12:07:08 AM
1762711644,247.6,0.218,29.3,2025-11-10 12:07:24 AM
1762711664,247.6,0.218,29.3,2025-11-10 12:07:44 AM
1762711683,247.6,0.218,29.3,2025-11-10 12:08:03 AM
1762711700,247.6,0.218,29.3,2025-11-10 12:08:20 AM
1762711717,247.6,0.218,29.3,2025-11-10 12:08:37 AM
1762711734,247.6,0.218,29.3,2025-11-10 12:08:54 AM
1762711751,247.6,0.218,29.3,2025-11-10 12:09:11 AM
1762711770,247.6,0.218,29.3,2025-11-10 12:09:30 AM
1762711787,247.1,0.298,40.8,2025-11-10 12:09:47 AM
1762711804,247.1,0.298,40.8,2025-11-10 12:10:04 AM
1762711823,247.1,0.298,40.8,2025-11-10 12:10:23 AM
1762711938,247.1,0.298,40.8,2025-11-10 12:12:18 AM
1762711956,247.1,0.298,40.8,2025-11-10 12:12:36 AM
1762711974,247.1,0.298,40.8,2025-11-10 12:12:54 AM
1762711991,247.6,0.211,23.7,2025-11-10 12:13:11 AM
1762712008,247.1,0.246,30.4,2025-11-10 12:13:28 AM
1762712026,247.1,0.236,29.8,2025-11-10 12:13:46 AM
1762712044,247.1,0.257,33.0,2025-11-10 12:14:04 AM
1762712062,247.1,0.243,29.9,2025-11-10 12:14:22 AM
1762712079,247.1,0.265,32.1,2025-11-10 12:14:39 AM
1762712096,247.1,0.204,22.7,2025-11-10 12:14:56 AM
1762712115,247.1,0.212,24.0,2025-11-10 12:15:15 AM
1762712132,247.1,0.182,20.8,2025-11-10 12:15:32 AM
1762712149,246.6,0.257,34.2,2025-11-10 12:15:49 AM
1762712168,247.1,0.251,32.0,2025-11-10 12:16:08 AM
1762712186,247.1,0.251,32.0,2025-11-10 12:16:26 AM
1762712203,247.1,0.251,32.0,2025-11-10 12:16:43 AM
1762712220,247.1,0.251,32.0,2025-11-10 12:17:00 AM
1762712238,247.1,0.251,32.0,2025-11-10 12:17:18 AM
1762712258,247.1,0.251,32.0,2025-11-10 12:17:38 AM
1762712274,247.1,0.251,32.0,2025-11-10 12:17:54 AM
1762712291,247.1,0.251,32.0,2025-11-10 12:18:11 AM
1762712308,247.1,0.251,32.0,2025-11-10 12:18:28 AM
1762712325,247.1,0.251,32.0,2025-11-10 12:18:45 AM
1762712342,247.1,0.251,32.0,2025-11-10 12:19:02 AM
1762712362,247.1,0.251,32.0,2025-11-10 12:19:22 AM
1762712380,247.1,0.251,32.0,2025-11-10 12:19:40 AM
1762712397,247.1,0.202,25.6,2025-11-10 12:19:57 AM
1762712415,247.1,0.202,25.6,2025-11-10 12:20:15 AM
1762712433,247.1,0.202,25.6,2025-11-10 12:20:33 AM
1762712450,247.1,0.202,25.6,2025-11-10 12:20:50 AM
1762712467,247.1,0.178,21.2,2025-11-10 12:21:07 AM
1762712484,247.1,0.178,21.2,2025-11-10 12:21:24 AM
1762712501,247.1,0.257,31.6,2025-11-10 12:21:41 AM
1762712518,247.1,0.257,31.6,2025-11-10 12:21:58 AM
1762712536,247.1,0.257,31.6,2025-11-10 12:22:16 AM
1762712553,247.1,0.257,31.6,2025-11-10 12:22:33 AM
1762712570,247.1,0.257,31.6,2025-11-10 12:22:50 AM
1762712587,247.1,0.257,31.6,2025-11-10 12:23:07 AM
1762712605,246.6,0.178,20.9,2025-11-10 12:23:25 AM
1762712622,246.6,0.178,20.9,2025-11-10 12:23:42 AM
1762712639,246.1,0.241,30.6,2025-11-10 12:23:59 AM
1762712658,246.1,0.212,23.8,2025-11-10 12:24:18 AM
1762712674,246.1,0.212,23.8,2025-11-10 12:24:34 AM
1762712691,246.1,0.212,23.8,2025-11-10 12:24:51 AM
1762712708,246.6,0.266,32.8,2025-11-10 12:25:08 AM
1762712725,246.6,0.266,32.8,2025-11-10 12:25:25 AM
1762712742,246.1,0.243,31.0,2025-11-10 12:25:42 AM
1762712759,246.1,0.243,31.0,2025-11-10 12:25:59 AM
1762712775,246.1,0.25,31.2,2025-11-10 12:26:15 AM
1762712792,246.1,0.25,31.2,2025-11-10 12:26:32 AM
1762712825,246.1,0.0,0.0,2025-11-10 12:27:05 AM
1762712842,246.1,0.0,0.0,2025-11-10 12:27:22 AM
1762712859,246.6,0.243,29.6,2025-11-10 12:27:39 AM
1762712878,246.6,0.243,29.6,2025-11-10 12:27:58 AM
1762712896,246.6,0.243,29.6,2025-11-10 12:28:16 AM
1762712914,246.6,0.243,29.6,2025-11-10 12:28:34 AM
1762712930,246.6,0.243,29.6,2025-11-10 12:28:50 AM
1762712948,246.1,0.187,24.2,2025-11-10 12:29:08 AM
1762712965,246.1,0.187,24.2,2025-11-10 12:29:25 AM
1762712983,246.1,0.187,24.2,2025-11-10 12:29:43 AM
1762713003,246.1,0.187,24.2,2025-11-10 12:30:03 AM
1762713021,246.1,0.187,24.2,2025-11-10 12:30:21 AM
1762713038,246.1,0.187,24.2,2025-11-10 12:30:38 AM
1762713055,246.1,0.187,24.2,2025-11-10 12:30:55 AM
1762713072,247.1,0.208,26.1,2025-11-10 12:31:12 AM
1762713089,247.1,0.208,26.1,2025-11-10 12:31:29 AM
1762713108,247.1,0.208,26.1,2025-11-10 12:31:48 AM
1762713124,247.1,0.208,26.1,2025-11-10 12:32:04 AM
1762713144,247.1,0.208,26.1,2025-11-10 12:32:24 AM
1762713161,247.1,0.182,21.4,2025-11-10 12:32:41 AM
1762713182,247.1,0.165,15.4,2025-11-10 12:33:02 AM
1762713198,247.1,0.165,15.4,2025-11-10 12:33:18 AM
1762713215,247.1,0.165,15.4,2025-11-10 12:33:35 AM
1762713232,247.1,0.165,15.4,2025-11-10 12:33:52 AM
1762713250,247.1,0.165,15.4,2025-11-10 12:34:10 AM
1762713267,247.1,0.165,15.4,2025-11-10 12:34:27 AM
1762713286,247.1,0.165,15.4,2025-11-10 12:34:46 AM
1762713303,247.6,0.219,24.5,2025-11-10 12:35:03 AM
1762713321,247.6,0.219,24.5,2025-11-10 12:35:21 AM
1762713339,247.6,0.219,24.5,2025-11-10 12:35:39 AM
1762713355,247.6,0.219,24.5,2025-11-10 12:35:55 AM
1762713373,247.6,0.219,24.5,2025-11-10 12:36:13 AM
1762713391,247.6,0.219,24.5,2025-11-10 12:36:31 AM
1762713408,247.6,0.219,24.5,2025-11-10 12:36:48 AM
1762713425,247.6,0.219,24.5,2025-11-10 12:37:05 AM
1762713441,247.6,0.219,24.5,2025-11-10 12:37:21 AM
1762713459,247.6,0.219,24.5,2025-11-10 12:37:39 AM
1762713477,247.6,0.219,24.5,2025-11-10 12:37:57 AM
1762713493,247.6,0.219,24.5,2025-11-10 12:38:13 AM
1762713512,247.6,0.219,24.5,2025-11-10 12:38:32 AM
1762713528,247.6,0.219,24.5,2025-11-10 12:38:48 AM
1762713545,246.6,0.303,50.8,2025-11-10 12:39:05 AM
1762713562,246.6,0.303,50.8,2025-11-10 12:39:22 AM
1762713579,246.6,0.234,29.8,2025-11-10 12:39:39 AM
1762713595,246.6,0.234,29.8,2025-11-10 12:39:55 AM
1762713612,246.6,0.234,29.8,2025-11-10 12:40:12 AM
1762713630,246.6,0.234,29.8,2025-11-10 12:40:30 AM
1762713647,246.6,0.234,29.8,2025-11-10 12:40:47 AM
1762713664,246.6,0.234,29.8,2025-11-10 12:41:04 AM
1762713681,246.6,0.234,29.8,2025-11-10 12:41:21 AM
1762713698,246.6,0.234,29.8,2025-11-10 12:41:38 AM
1762713716,246.6,0.234,29.8,2025-11-10 12:41:56 AM
1762713732,246.6,0.234,29.8,2025-11-10 12:42:12 AM
1762713749,246.6,0.234,29.8,2025-11-10 12:42:29 AM
1762713766,246.6,0.234,29.8,2025-11-10 12:42:46 AM
1762713783,246.6,0.234,29.8,2025-11-10 12:43:03 AM
1762713799,246.6,0.234,29.8,2025-11-10 12:43:19 AM
1762713817,246.6,0.234,29.8,2025-11-10 12:43:37 AM
1762713834,246.6,0.234,29.8,2025-11-10 12:43:54 AM
1762713851,246.6,0.234,29.8,2025-11-10 12:44:11 AM
1762713868,246.6,0.234,29.8,2025-11-10 12:44:28 AM
1762713885,246.6,0.234,29.8,2025-11-10 12:44:45 AM
1762713903,246.6,0.234,29.8,2025-11-10 12:45:03 AM
1762713920,246.6,0.234,29.8,2025-11-10 12:45:20 AM
1762713936,246.6,0.234,29.8,2025-11-10 12:45:36 AM
1762713954,246.6,0.234,29.8,2025-11-10 12:45:54 AM
1762713971,246.6,0.234,29.8,2025-11-10 12:46:11 AM
1762713988,246.6,0.234,29.8,2025-11-10 12:46:28 AM
1762714006,246.6,0.234,29.8,2025-11-10 12:46:46 AM
1762714023,246.6,0.234,29.8,2025-11-10 12:47:03 AM
1762714040,246.6,0.234,29.8,2025-11-10 12:47:20 AM
1762714057,246.6,0.234,29.8,2025-11-10 12:47:37 AM
1762714073,246.6,0.234,29.8,2025-11-10 12:47:53 AM
1762714092,246.6,0.234,29.8,2025-11-10 12:48:12 AM
1762714109,246.6,0.234,29.8,2025-11-10 12:48:29 AM
1762714127,246.6,0.234,29.8,2025-11-10 12:48:47 AM
1762714143,246.6,0.234,29.8,2025-11-10 12:49:03 AM
1762714160,246.6,0.234,29.8,2025-11-10 12:49:20 AM
1762714177,246.6,0.234,29.8,2025-11-10 12:49:37 AM
1762714194,246.6,0.234,29.8,2025-11-10 12:49:54 AM
1762714212,245.6,0.174,25.1,2025-11-10 12:50:12 AM
1762714229,245.6,0.174,25.1,2025-11-10 12:50:29 AM
1762714247,245.6,0.174,25.1,2025-11-10 12:50:47 AM
1762714264,245.6,0.174,25.1,2025-11-10 12:51:04 AM
1762714282,245.6,0.174,25.1,2025-11-10 12:51:22 AM
1762714299,245.6,0.174,25.1,2025-11-10 12:51:39 AM
1762714316,245.6,0.174,25.1,2025-11-10 12:51:56 AM
1762714336,245.6,0.174,25.1,2025-11-10 12:52:16 AM
1762714353,245.6,0.174,25.1,2025-11-10 12:52:33 AM
1762714373,245.6,0.174,25.1,2025-11-10 12:52:53 AM
1762714389,245.6,0.174,25.1,2025-11-10 12:53:09 AM
1762714406,245.6,0.174,25.1,2025-11-10 12:53:26 AM
1762714423,245.6,0.174,25.1,2025-11-10 12:53:43 AM
1762714440,245.6,0.174,25.1,2025-11-10 12:54:00 AM
1762714457,245.6,0.174,25.1,2025-11-10 12:54:17 AM
